ID,COUNTRY_CODE,NAME,LOCATION_TYPE
1015648,US,Arlington,City
9175262,JP,444-2804,Postal Code
9159542,JP,949-3734,Postal Code
1024195,US,Fairland,City
9164226,JP,400-0313,Postal Code
9055418,FR,38120,Postal Code
1014279,US,Simi Valley,City
9054181,US,45374,Postal Code
9139015,MX,73096,Postal Code
9026267,US,73128,Postal Code
9067667,GR,Argos,City
9050932,NL,Hank,City
9115922,DE,38899,Postal Code
9154682,IN,627853,Postal Code
9045776,GB,PO10,Postal Code
9164020,JP,856-0816,Postal Code
9024650,US,68346,Postal Code
9076824,KE,Nairobi West,Neighborhood
9063859,NL,5507,Postal Code
9064391,NL,1424,Postal Code
9175407,JP,386-1436,Postal Code
1021485,US,Makoti,City
9018917,US,53572,Postal Code
9149412,IN,686608,Postal Code
9126321,ID,Depok,District
1028653,ZA,Gallo Manor,Neighborhood
9071506,AU,3522,Postal Code
9076222,DO,Cotui,City
9158979,JP,861-2202,Postal Code
9300264,IN,Mohol,City
9031002,US,90222,Postal Code
9025509,US,71280,Postal Code
9132992,MX,87205,Postal Code
9110929,FR,46190,Postal Code
1017778,US,Grayson,City
9121593,ID,55792,Postal Code
21166,US,Nevada,State
9150838,IN,799130,Postal Code
1020776,US,Madison,City
9053831,US,87051,Postal Code
9137879,MX,54694,Postal Code
9109120,FR,79410,Postal Code
9001171,CA,R0A,Postal Code
9152816,IN,583134,Postal Code
9054827,US,18825,Postal Code
9132708,MX,91495,Postal Code
9048176,None,Bad Griesbach,City
9124076,ID,Cenrana,District
9103056,NL,6464,Postal Code
9111658,FR,57350,Postal Code
9147467,IN,530044,Postal Code
9000512,CA,J1E,Postal Code
9054786,US,18814,Postal Code
9005937,US,15225,Postal Code
9001647,US,01026,Postal Code
9102170,BR,86705,Postal Code
9040000,BE,Sprimont,City
9007574,US,20147,Postal Code
9178993,JP,729-5744,Postal Code
1022516,US,Church Rock,City
9166148,JP,899-6404,Postal Code
9170696,JP,905-1425,Postal Code
9143229,MX,40425,Postal Code
9137001,MX,30195,Postal Code
9051356,RO,Comanesti,City
1016767,US,Peotone,City
9158780,JP,327-0513,Postal Code
9164833,JP,049-4822,Postal Code
9165075,JP,389-0115,Postal Code
